Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
n0,n0,,2,0.666667,0.75,0
n1,n1,,2,0.7,0.785714,0
n2,n2,,2,0.666667,0.75,0
n3,n3,,3,0.529412,0.62963,0
n4,n4,,3,0.615385,0.708333,0
n5,n5,,3,0.545455,0.694444,2.2
n6,n6,,2,0.75,0.833333,0
n7,n7,,2,0.666667,0.75,4
n8,n8,,3,0.5,0.583333,0
n9,n9,,1,1,1,2
n10,n10,,1,1,1,6
n11,n11,,2,0.75,0.833333,0
n12,n12,,4,0.48,0.576389,0
n13,n13,,0,0,0,0
n14,n14,,3,0.5,0.583333,0
n15,n15,,2,0.666667,0.75,0
n16,n16,,2,0.8,0.875,3.8
n17,n17,,2,0.75,0.833333,0
n18,n18,,2,0.75,0.833333,6
n19,n19,,3,0.428571,0.5,0
n20,n20,,2,0.625,0.7,5
n21,n21,,0,0,0,0
n22,n22,,2,0.666667,0.75,0.5
n23,n23,,3,0.411765,0.47619,3
n24,n24,,1,1,1,0
n25,n25,,1,1,1,1.5
n26,n26,,1,1,1,0
n27,n27,,1,1,1,4
n28,n28,,1,1,1,0
n29,n29,,2,0.6,0.666667,8
n30,n30,,0,0,0,0
n31,n31,,1,1,1,1
n32,n32,,0,0,0,0
n33,n33,,0,0,0,0
n34,n34,,0,0,0,0
n35,n35,,1,1,1,17
n36,n36,,0,0,0,0
n37,n37,,2,0.666667,0.75,3
n38,n38,,1,1,1,0
n39,n39,,1,1,1,4
n40,n40,,2,0.75,0.833333,7.5
n41,n41,,1,1,1,4
n42,n42,,0,0,0,0
n43,n43,,0,0,0,0
n44,n44,,0,0,0,0
n45,n45,,1,1,1,5.5
n46,n46,,0,0,0,0
n47,n47,,0,0,0,0
n48,n48,,0,0,0,0
n49,n49,,0,0,0,0
